item_id,system,item,authority,status,estimated_quantity,unit,notes
GH-GLASSES,resonators,wine glass set,pending_measurement,estimate_pending,TBD,set,"Glass count, source, shape, rim condition, and response are not specified."
GH-SPARES,resonators,spare candidate glasses,pending_measurement,estimate_pending,TBD,set,"Useful for breakage and selection tests; no count or source is released."
GH-WATER,tuning_interface,water and fill workflow,pending_measurement,estimate_pending,TBD,kit,"Fill method and recording protocol require measurement."
GH-MEASURE-VOLUME,tuning_interface,repeatable water measuring tool,pending_measurement,estimate_pending,TBD,each,"Could be a marked vessel, syringe, or scale after workflow review; no capacity specified."
GH-LABELS,documentation,glass labels and fill markers,pending_measurement,estimate_pending,TBD,set,"Label material must survive water handling without becoming tuning authority."
GH-LOG,documentation,glass inventory and fill log,pending_measurement,estimate_pending,TBD,document,"Future measured table for glass ID, dry response, filled response, and setup notes."
GH-TRAY,layout,spill-safe tray or playing surface,pending_measurement,estimate_pending,TBD,assembly,"Layout, damping, and glass stability are not specified."
GH-PADS,layout,non-damping pads or locating aids,pending_measurement,estimate_pending,TBD,set,"Candidate stability aids; material and placement require listening tests."
GH-MEASURE-PITCH,validation,tuner and response logging setup,pending_measurement,estimate_pending,TBD,kit,"Pitch and response data must be collected from real glasses."
GH-WIPES,playing_interface,towels and wetting control,pending_measurement,estimate_pending,TBD,kit,"Moisture management is required but not specified."
GH-MALLETS,playing_interface,optional light test mallets,pending_measurement,estimate_pending,TBD,pair,"Glass harp is finger-rubbed, but light taps may help inventory response; mallet specs are not released."
GH-STORAGE,safety,storage and breakage handling,pending_measurement,estimate_pending,TBD,kit,"Storage, transport, and broken-glass disposal need review."
GH-SAFETY,safety,eye and hand safety supplies,concept_only,estimate_pending,TBD,kit,"Handling concept only; exact supplies depend on shop protocol."
